Joukovsky 0009
 1.0000000     0.0000000
 0.9935855     0.0000705
 0.9817977     0.0003385
 0.9678940     0.0007873
 0.9527999     0.0013926
 0.9371843     0.0021206
 0.9213502     0.0029462
 0.9054145     0.0038522
 0.8894212     0.0048267
 0.8733889     0.0058604
 0.8573263     0.0069461
 0.8412382     0.0080771
 0.8251277     0.0092479
 0.8089970     0.0104532
 0.7928477     0.0116886
 0.7766808     0.0129494
 0.7604972     0.0142318
 0.7442977     0.0155318
 0.7280828     0.0168456
 0.7118531     0.0181698
 0.6956112     0.0195005
 0.6793626     0.0208341
 0.6631158     0.0221665
 0.6468794     0.0234937
 0.6306569     0.0248123
 0.6144478     0.0261190
 0.5982516     0.0274109
 0.5820685     0.0286847
 0.5658985     0.0299374
 0.5497414     0.0311658
 0.5335974     0.0323666
 0.5174665     0.0335367
 0.5013489     0.0346727
 0.4852447     0.0357712
 0.4691545     0.0368289
 0.4530787     0.0378420
 0.4370178     0.0388069
 0.4209726     0.0397197
 0.4049439     0.0405765
 0.3889327     0.0413729
 0.3729403     0.0421045
 0.3569682     0.0427667
 0.3410180     0.0433545
 0.3250918     0.0438626
 0.3091921     0.0442852
 0.2933216     0.0446164
 0.2774838     0.0448494
 0.2616829     0.0449772
 0.2459238     0.0449918
 0.2302125     0.0448845
 0.2145564     0.0446459
 0.1989648     0.0442652
 0.1834490     0.0437307
 0.1680241     0.0430287
 0.1527092     0.0421442
 0.1375304     0.0410602
 0.1225241     0.0397571
 0.1077428     0.0382143
 0.0932692     0.0364107
 0.0792358     0.0343297
 0.0658559     0.0319709
 0.0534657     0.0293728
 0.0424611     0.0266262
 0.0331545     0.0238652
 0.0256245     0.0212233
 0.0196371     0.0187472
 0.0148723     0.0164320
 0.0110871     0.0142684
 0.0080716     0.0122349
 0.0056526     0.0102709
 0.0036940     0.0083305
 0.0021616     0.0063967
 0.0010634     0.0044873
 0.0003731     0.0026358
 0.0000416     0.0008659
 0.0000416    -0.0008659
 0.0003731    -0.0026358
 0.0010634    -0.0044873
 0.0021616    -0.0063967
 0.0036940    -0.0083305
 0.0056526    -0.0102709
 0.0080716    -0.0122349
 0.0110871    -0.0142684
 0.0148723    -0.0164320
 0.0196371    -0.0187472
 0.0256245    -0.0212233
 0.0331545    -0.0238652
 0.0424611    -0.0266262
 0.0534657    -0.0293728
 0.0658559    -0.0319709
 0.0792358    -0.0343297
 0.0932692    -0.0364107
 0.1077428    -0.0382143
 0.1225241    -0.0397571
 0.1375304    -0.0410602
 0.1527092    -0.0421442
 0.1680241    -0.0430287
 0.1834490    -0.0437307
 0.1989648    -0.0442652
 0.2145564    -0.0446459
 0.2302125    -0.0448845
 0.2459238    -0.0449918
 0.2616829    -0.0449772
 0.2774838    -0.0448494
 0.2933216    -0.0446164
 0.3091921    -0.0442852
 0.3250918    -0.0438626
 0.3410180    -0.0433545
 0.3569682    -0.0427667
 0.3729403    -0.0421045
 0.3889327    -0.0413729
 0.4049439    -0.0405765
 0.4209726    -0.0397197
 0.4370178    -0.0388069
 0.4530787    -0.0378420
 0.4691545    -0.0368289
 0.4852447    -0.0357712
 0.5013489    -0.0346727
 0.5174665    -0.0335367
 0.5335974    -0.0323666
 0.5497414    -0.0311658
 0.5658985    -0.0299374
 0.5820685    -0.0286847
 0.5982516    -0.0274109
 0.6144478    -0.0261190
 0.6306569    -0.0248123
 0.6468794    -0.0234937
 0.6631158    -0.0221665
 0.6793626    -0.0208341
 0.6956112    -0.0195005
 0.7118531    -0.0181698
 0.7280828    -0.0168456
 0.7442977    -0.0155318
 0.7604972    -0.0142318
 0.7766808    -0.0129494
 0.7928477    -0.0116886
 0.8089970    -0.0104532
 0.8251277    -0.0092479
 0.8412382    -0.0080771
 0.8573263    -0.0069461
 0.8733889    -0.0058604
 0.8894212    -0.0048267
 0.9054145    -0.0038522
 0.9213502    -0.0029462
 0.9371843    -0.0021206
 0.9527999    -0.0013926
 0.9678940    -0.0007873
 0.9817977    -0.0003385
 0.9935855    -0.0000705
 1.0000000     0.0000000
