opt6.0
 0.9996339     0.0001012
 0.9959614     0.0014554
 0.9899827     0.0034323
 0.9833403     0.0054637
 0.9760053     0.0076203
 0.9679743     0.0098879
 0.9593442     0.0122480
 0.9502596     0.0146588
 0.9408200     0.0170924
 0.9311257     0.0195241
 0.9212482     0.0219366
 0.9112342     0.0243202
 0.9011173     0.0266693
 0.8909212     0.0289805
 0.8806637     0.0312520
 0.8703595     0.0334824
 0.8600184     0.0356707
 0.8496473     0.0378169
 0.8392521     0.0399209
 0.8288387     0.0419824
 0.8184109     0.0440015
 0.8079703     0.0459784
 0.7975179     0.0479135
 0.7870558     0.0498074
 0.7765866     0.0516598
 0.7661116     0.0534711
 0.7556316     0.0552413
 0.7451467     0.0569707
 0.7346575     0.0586596
 0.7241643     0.0603083
 0.7136674     0.0619170
 0.7031670     0.0634861
 0.6926635     0.0650155
 0.6821571     0.0665061
 0.6716482     0.0679572
 0.6611373     0.0693690
 0.6506276     0.0707649
 0.6401186     0.0721395
 0.6296098     0.0734848
 0.6191007     0.0747993
 0.6085911     0.0760809
 0.5980809     0.0773286
 0.5875701     0.0785412
 0.5770590     0.0797175
 0.5665478     0.0808569
 0.5560366     0.0819582
 0.5455256     0.0830206
 0.5350153     0.0840432
 0.5245057     0.0850252
 0.5139967     0.0859656
 0.5034883     0.0868637
 0.4929808     0.0877187
 0.4824749     0.0885296
 0.4719711     0.0892956
 0.4614690     0.0900156
 0.4509669     0.0906890
 0.4404642     0.0913153
 0.4299660     0.0918941
 0.4194823     0.0924241
 0.4090236     0.0929032
 0.3985930     0.0933289
 0.3881879     0.0936992
 0.3778045     0.0940129
 0.3674404     0.0942683
 0.3570933     0.0944641
 0.3467616     0.0945990
 0.3364464     0.0946714
 0.3261509     0.0946798
 0.3158796     0.0946222
 0.3056362     0.0944963
 0.2954242     0.0943002
 0.2852478     0.0940313
 0.2751110     0.0936877
 0.2650192     0.0932667
 0.2549780     0.0927662
 0.2449928     0.0921836
 0.2350699     0.0915165
 0.2252160     0.0907625
 0.2154386     0.0899191
 0.2057475     0.0889841
 0.1961518     0.0879547
 0.1866609     0.0868288
 0.1772857     0.0856042
 0.1680369     0.0842786
 0.1589281     0.0828506
 0.1499733     0.0813190
 0.1411886     0.0796831
